X,Y,OBJECTID,OFFICIAL_STORE_NAME,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
-75.147736043272687,39.968628148099754,1,"1022 Marshall Enterprises, Inc",1022 N Marshall St,3,Certification,19123
-75.164453544873496,39.916527291447942,2,10th Ave Sandwiches testing,2654 S 10th St,1,Basic,19148
-75.115207848319599,40.034186561239217,3,"1111 M&S Gas, Inc.",5570 Rising Sun Ave,1,Basic,19120
-75.15794610470499,39.960567802727411,4,12th Street Food Mart,453 N 12th St,3,Certification,19123
-75.172253891406925,39.926024822574149,5,16th Street Food Market Hello Gabe,1551 Mckean St,2,Basic,19145
-75.153854134444387,39.934950142701247,6,1st Oriental Supermarket,1111 S 6th St,1,Basic,19147
-75.179166763761842,39.933100229183168,7,21st Food Market & Deli,2050 Dickinson St,2,Basic,19146
-75.171256199570536,39.979017305305142,8,22nd St. Mini Market,2201 W Oxford St,3,Enhanced,19121
-75.17256396917999,40.002570414982031,9,26th and Clearfield Mini Mart,3101 N 26th St,3,Enhanced,19132
-75.1769861700229,39.982761075652732,10,26th Food Market,1800 N 26Th St,3,Enhanced,19121
-75.123411826801458,39.991050706567805,11,2764 Kensington Inc,2764-72 Kensington Ave,2,Basic,19134
-75.174704184012299,39.997092923647045,12,27th Food Market,2655 W Sterner St,1,Basic,19132
-75.192626738744821,39.927298598229946,13,28 & Snyder Supermarket,2800 Snyder Ave,2,Basic,19145
-75.154684705905908,39.96177756248499,14,3 Espigas Bakery & Grocery,1009 Spring Garden St,3,Enhanced,19123
-75.163851154199079,40.005392452821738,15,3 J Food Market,3324 N 21st St,3,Enhanced,19140
-75.229129799061965,39.954392928297459,16,3 Sisters #2,5356 Delancey Street,3,Certification,19143
-75.151098644139054,40.000805821400476,17,3 Torres,1327 W Wishart St,3,Enhanced,19132
-75.148638218020963,39.96383632120147,18,3MNS Inc.,623 Fairmount Ave,3,Enhanced,19123
-75.231064921800638,39.937957852082342,19,4 Brothers Mini Market,1701 S 58th St,2,Basic,19143
-75.218919470556102,39.956192417661157,20,49 Stop Supermarket,4847 Walnut St,3,Enhanced,19139
-75.222253977530912,39.962902277062454,21,51 Race Food Market Inc,5101 Race St,2,Basic,19139
-75.216439825342277,39.940164601992457,22,51 Street Mini Market #1,1360 S 51st St,3,Enhanced,19143
-75.218849134872983,39.940566308446613,23,52nd Street Food Market,1401 S 52nd St,2,Basic,19143
-75.229073493922314,39.969122980339456,24,5414 Wyalusing Food Market,5414 Wyalusing Ave,1,Basic,19131
-75.230265070013587,39.963892876898875,25,55th Street Food Market,5501 Race Street,1,Basic,19139
-75.238123442157331,39.955506454861741,26,58th St. & Delancey Food Market,5800 Delancey St,3,Enhanced,19143
-75.17943235434052,39.993425157581456,27,7 Days Food Market,2462 N 29Th St,3,Enhanced,19132
-75.23755617527533,39.928254584808847,28,8 Brothers Supermarket,1930 S 65Th St,2,Basic,19142
-75.16116126345085,39.922067483740804,29,9th & Jackson Grocery,853 Jackson St,3,Enhanced,19148
-75.226257138799966,39.941311263364895,30,A & A Supermarket,5456 Warrington Ave,2,Basic,19143
-75.165710982288289,39.965730559431655,31,"A A A Food Market, Inc",1700 Wallace St,3,Enhanced,19130
-75.173735032949295,40.026836463430463,32,A and L Deli Market Inc.,264 W Queen Ln,3,Enhanced,19144
-75.251446675499096,39.97464991994152,33,A M Food Market,6572 Lansdowne Ave,3,Enhanced,19151
-75.168698188468525,39.919101757322352,34,A&E Grocery,1300 W Porter St,3,Certification,19148
-75.126727538922381,39.986140725093477,35,A&M Mini Market Almonte II,2533 Emerald St,1,Basic,19125
-75.149289725738456,40.064127330178898,36,Abreu Food Market,1949 72nd Ave,1,Basic,19138
-75.089281426233967,40.032634647203146,37,Abreu Mini Market,948 E Sanger St,1,Basic,19124
-75.081240670451606,40.035403536001574,38,Abreu Super Deli,6059 Castor Ave,3,Enhanced,19149
-75.062518655800375,40.055094542717832,39,Acai Berry Café,7534 Castor Ave,2,Basic,19152
-75.232017205916378,39.955388146074661,40,AD Eight Brothers,5503 Spruce St,2,Basic,19139
-75.170948849731872,39.94438212546806,41,Adabel Deli Inc,1739 South St,1,Basic,19146
-75.160487204583674,39.985289687382362,42,Adan Grocery,1643 W Diamond St,3,Enhanced,19121
-75.158855917084026,39.992391188917651,43,Agramonte Grocery Store,2568 N Bancroft St,2,Basic,19132
-75.142950990408366,40.022356787321044,44,Ailyn Mini Market LLC,4600 N 11th St,3,Enhanced,19140
-75.117444074273607,40.020758423650001,45,Al Aqsa Halal,419 East Wyoming Ave,2,Basic,19120
-75.172037231438949,39.925073113692036,46,Al Sultan Internation Gourmet,1545 W. Passyunk Ave,1,Basic,19145
-75.227245440745335,39.924447783065794,47,Aladdin Food Market,6247 Elmwood Ave,2,Basic,19142
-75.180920047890297,39.994145754134941,48,Alejandro Grocery Store,3000 W Cumberland St,2,Basic,19132
-75.172862398692786,40.004231869988104,49,Allegheny Mini Market II,2615 W Allegheny Ave,1,Basic,19132
-75.11516025093178,39.997916389452769,50,Almanzar Mini Market,800 E Willard St,2,Basic,19134
-75.145694947165083,39.994469703498176,51,Almonte Deli Grocery,2801 N 9th St,2,Basic,19133
-75.168945223270867,39.971421173465274,52,Almonte Grocery,1945 Poplar St,3,Enhanced,19130
-75.131751427593443,40.020052373887275,53,Almonte Mini Market,328 W Annsbury St,1,Basic,19140
-75.101562717662347,40.043342769449545,54,Almonte Mini Market,546 Van Kirk St,3,Enhanced,19120
-75.180625672327182,39.995136972899374,55,Alvarez Grocery,2565 N 30th St,3,Enhanced,19132
-75.228116807505202,39.960454877868585,56,Aman Food Market,5343 Market St,3,Certification,19139
-75.115724895561925,39.995164998137071,57,Amancio Dollar Outlet,3101 Kensington Avenue,3,Enhanced,19134
-75.129242863708853,39.998916825744288,58,Amancio Dollar Outlet #3,3220 Front St,1,Basic,19140
-75.090620947828768,40.033477854526929,59,Ami Food Market Inc.,899 E Sanger St,1,Basic,19124
-75.214434147386186,39.948893999763747,60,Amin Gas & Mini Mart,4548 Baltimore Ave,2,Basic,19143
-75.214344547107942,39.94227707957802,61,Ana Grocery,1262 S 49th St,3,Enhanced,19143
-75.157184532829845,39.993869633253894,62,Anabels Grocery,1555 W Oakdale St,1,Basic,19132
-75.131419649666029,40.000503326060404,63,Angel Deli Grocery,3300 Mutter St,2,Basic,19140
-75.227139651684908,39.936677065872878,64,Angela Mini Mart,5700 Chester Ave,3,Enhanced,19143
-75.23234637442323,39.947714114099092,65,Angelica Supermarket,5445 Baltimore Avenue,3,Enhanced,19143
-75.228996391886085,39.985880129238289,66,Angelinas Grocery Store,5301 Euclid St,1,Basic,19131
-75.241912431548755,39.956223650095772,67,Angelos Food Market,309 S 60th St,2,Basic,19143
-75.07795389352242,40.0060919699362,68,Angels Deli,2350 Orthodox St,2,Basic,19137
-75.041193204743763,40.03072908217009,69,Annas Deli,4424 Princeton Ave,1,Basic,19135
-75.130377380513991,39.973673464588352,70,Annes Place,460 Belgrade St,2,Basic,19125
-75.18209926583117,39.937156749102527,71,Arheny Food Market,1240 S 23rd St,2,Basic,19146
-75.168962986521649,39.935981265172245,72,Ariana Grocery II,1200 S 15th St,1,Basic,19146
-75.099694351785644,39.997861673486064,73,Ariel Grocery Inc,2090 E Pacific St,2,Basic,19134
-75.13409483517934,39.985118812585903,74,"Arturo Rojas Multi-Service I, Inc",147 W Dauphin St,3,Enhanced,19133
-75.156792368727707,39.935305031757181,75,Ascencios Grocery,1121 E Passyunk Ave,3,Enhanced,19147
-75.163792171742656,40.034349925078779,76,Ashmead Variety,309 E Ashmead St,1,Basic,19144
-75.183413077995198,39.992936243332423,77,Associated Food Market,3120-28 W York St,3,Enhanced,19132
-75.145582022975091,39.992840077882484,78,AVP Grocery Store,811 W Lehigh Ave,2,Basic,19133
-75.164804356215413,39.96492595158611,79,Azaan Grocery,1634 Mount Vernon St,3,Enhanced,19130
-75.219747826922443,39.941985798896411,80,Azcona Supermarket,5131 Chester Ave,2,Basic,19143
-75.230688077536968,39.921911374864742,81,B & J Supermarket,6530 Elmwood Ave,3,Enhanced,19142
-75.163234626061907,39.991949093992325,82,Baez Grocery,2500 N 19Th St,2,Basic,19132
-75.182163930706665,39.936332230878527,83,Baez Grocery Llc,1267 S 23rd St,1,Basic,19146
